unique_id,n_obs,estado,regimen,ganador,mase_naive,mase_seasonal_naive,mase_ganador,max_len,structural_filter
M1015,36,ok,no_estacional_plano,naive,0.5454991298845119,1.6337446606549597,0.5454991298845119,36,True
M727,36,ok,estacional_plano,naive,0.9241758241758241,0.4567765567765568,0.9241758241758241,36,True
M1265,36,ok,no_estacional_con_tendencia,holt,1.7767744441207887,8.920477716283134,1.6260224253231828,36,True
M1190,36,ok,no_estacional_plano,auto_arima,1.2473136567557666,5.506778555278515,0.8812439320246828,36,True
M346,36,ok,estacional_plano,naive,0.9283165407220823,0.8278757346767421,0.9283165407220823,36,True
M681,36,ok,estacional_plano,auto_arima,0.8237259816207185,0.44214703425229746,0.2897514017298568,36,True
M128,36,ok,no_estacional_plano,moving_average,0.6851851851851851,1.1018518518518519,0.5679012345679012,36,True
M238,36,ok,no_estacional_plano,mean,0.886760752688172,0.5651881720430108,0.49955506578848513,36,True
M565,36,ok,estacional_plano,moving_average,0.9606794294294295,0.859984984984985,0.798751876876877,36,True
M490,36,ok,estacional_con_tendencia,holt,1.679300724207527,0.9990304325458073,1.3410729997953035,36,True
M829,36,ok,estacional_con_tendencia,naive,0.8575268817204301,0.6704301075268817,0.8575268817204301,36,True
M443,36,ok,no_estacional_plano,linear_regression,0.5422308188265635,0.4954867827208253,0.33240431004847015,36,True
M762,36,ok,estacional_plano,ses,0.6455043859649122,1.0429824561403507,0.6794159259409853,36,True
M1064,36,ok,estacional_con_tendencia,naive,1.8052208835341366,2.0575635876840694,1.8052208835341366,36,True
M476,36,ok,estacional_con_tendencia,auto_arima,1.6649318963182023,0.6647616350867276,1.4223068545536233,36,True
M935,36,ok,estacional_con_tendencia,ses,1.0464609440240928,1.4775971410726463,1.0642019350883811,36,True
M78,36,ok,no_estacional_con_tendencia,linear_regression,0.5140080045740423,0.7212692967409948,0.5708702310745778,36,True
M87,36,ok,no_estacional_con_tendencia,linear_regression,1.3902439024390243,1.5121951219512195,0.7187732551459656,36,True
M496,36,ok,estacional_con_tendencia,weighted_moving_average,0.7733333333333333,0.5298765432098765,0.7411111111111085,36,True
M535,36,ok,no_estacional_con_tendencia,auto_arima,0.5471698113207547,0.492803580067731,0.5303239200793937,36,True
M110,36,ok,estacional_con_tendencia,ses,0.39908256880733944,0.8314220183486238,0.3676748647293505,36,True
M1074,36,ok,estacional_con_tendencia,mean,1.6798780487804879,0.766260162601626,1.562376914099808,36,True
M383,36,ok,estacional_plano,weighted_moving_average,0.9058540847531673,0.8361730013106159,0.6874672346002617,36,True
M258,36,ok,no_estacional_con_tendencia,linear_regression,0.5770408163265306,0.8285714285714286,0.37805403843565083,36,True
M736,36,ok,no_estacional_plano,ses,0.48952613382143584,0.925971120601993,0.4860847709103237,36,True
M1282,36,ok,no_estacional_con_tendencia,holt,0.6401766004415012,1.9525386313465782,0.6770392673776618,36,True
M64,36,ok,no_estacional_plano,ses,0.5427933414535121,0.48038976857490867,0.34815551197085887,36,True
M970,36,ok,no_estacional_con_tendencia,linear_regression,0.7666123483613977,3.7359225058844827,0.5898059738160452,36,True
M394,36,ok,estacional_con_tendencia,ses,0.9762072611913994,0.7581365291975091,0.9616564423277596,36,True
M747,36,ok,estacional_con_tendencia,auto_arima,0.7919171568149569,0.3276356979603332,1.1736643427902753,36,True
M132,36,ok,no_estacional_con_tendencia,mean,0.7584956090110729,1.0574646811760213,0.6966444188830312,36,True
